"Ref_N","Reference"
658,"Greene et al. (2010). Distance sampling to determine kaka (Nestor meridionalis septentrionalis) density within Waipapa Ecological Area, Pureora. New Zealand Journal of Ecology 34(3): 297-305"
659,"Bond, A. B., & Diamond, J. (1992). Population estimates of kea in Arthur's Pass National Park. Papers in Behavior and Biological Sciences, 31."
660,"Seoane, J., Carrascal, L.M., Palomino, D., & Alonso, C.L. (2010). Population size and habitat relationships of Black-bellied Sandgrouse Pterocles orientalis in the Canary Islands, Spain. Bird Conservation International, 20(02), 161-175."
661,"Giordano, P. F., Bellis, L. M., Navarro, J. L., & Martella, M. B. (2008). Abundance and spatial distribution of Greater Rhea Rhea americana in two sites on the pampas grasslands with different land use. Bird Conservation International, 18(01), 63-70."
662,"Marinero, N. V., Cortez, R. O., Navarro, J. L., & Martella, M. B. (2014). Density and abundance of Rhea pennata garleppi (Struthioniformes: Rheidae) in the Puna ecoregion of Argentina. Revista chilena de historia natural, 87(1), 17."
663,"Cajal, J. L. (1988). The Lesser Rhea in the Argentine Puna region: present situation. Biological Conservation, 45(2), 81-91."
664,"Baldi, R., Pirronitto, A., Burgi, M. V., & Antún, M. (2015). Abundance estimates of the lesser rhea Rhea pennata pennata in the Argentine Patagonia: conservation implications. Frontiers in Ecology and Evolution, 3, 135."
665,"Novaro, A.J., (1997). Source-sink dynamics induced by hunting: case study of culpeo foxes on rangelands in Patagonia, Argentina. Ph.D. dissertation, University of Florida, Gainesville, FL"
666,"Ciach, M., & Czyżowicz, S. (2014). Abundance and distribution of owls Strigiformes in the Pieniny Mountains National Park (southern Poland)–the pattern of changes in the protected area after 10 years. Ornis Polonica, 55, 83-95."
667,"Šálek, M., Chrenkova, M., & Kipson, M. (2013). High population density of Little Owl (Athene noctua) in Hortobagy National Park, Hungary, Central Europe. Polish Journal of Ecology, 61(1), 165-169."
668,"Pérez-García, J. M., Sánchez-Zapata, J. A., & Botella, F. (2012). Distribution and breeding performance of a high-density Eagle Owl Bubo bubo population in southeast Spain. Bird Study, 59(1), 22-28."
669,"Marchesi, L., Sergio, F., & Pedrini, P. (2002). Costs and benefits of breeding in human‐altered landscapes for the Eagle Owl Bubo bubo. Ibis, 144(4), E164-E177."
670,"Sergio, F., Marchesi, L., Pedrini, P., Ferrer, M., & Penteriani, V. (2004). Electrocution alters the distribution and density of a top predator, the eagle owl Bubo bubo. Journal of Applied Ecology, 41(5), 836-845."
671,"Monitoring database at Kluane Lake (Yukon) (http://www.zoology.ubc.ca/~krebs/kluane.html)"
672,"Martin, L. (2022).ﾠUsing Acoustic Spatial Capture-Recapture to Estimate Owl Population Density and the Effects of Anthropogenic Factors in the Chattahoochee River National Recreation Areaﾠ(Doctoral dissertation, University of Georgia)."
673,"Reynolds, M., Shook, J., Breed, G., & Kielland, K. (2021). Detection and density of the great horned owl (Bubo virginianus) in Arctic Alaska. Journal of Raptor Research, 55(1), 56-64."
674,"Borges, S. H., Henriques, L. M., & Carvalhaes, A. (2004). Density and habitat use by owls in two Amazonian forest types. Journal of Field Ornithology, 75(2), 176-182."
675,"Gerhardt, R. P., González, N. B., Gerhardt, D. M., & Flatten, C. J. (1994). Breeding biology and home range of two Ciccaba owls. The Wilson Bulletin, 629-639."
676,"Mestecaneanu, A., & Mestecaneanu, F. (2020). Considerations on the density, preference of habitat and ethology of the pigmy owl (Glaucidium passerinum Linnaeus, 1758) from the Fagaras Iezer-Papusa and Leaota mountains (Southern Carpathians, Romania). Muzeul Olteniei Craiova 36(1): 109-117"
677,"Alba-Zúñiga, A., Enríquez, P. L., & Rangel-Salazar, J. L. (2009). Population density and habitat use of the threatened Balsas screech owl in the Sierra de Huautla Biosphere Reserve, Mexico. Endangered Species Research, 9(1), 61-66."
678,"Hill, F. R., & Lill, A. (1998). Density and total population estimates for the threatened Christmas Island Hawk-Owl Ninox natalis. Emu, 98(3), 209-220."
679,"Sacchi, R., Perani, E., Galeotti, P. (1999). Population density and demographic trend of the Scops Owl Otus scops in the northern Apennine (Oltrepò Pavese, northern Italy). Avocetta, 23(2), 58-64."
680,"Mikusek, R., Dyrcz, A., & Polak, M. (2020). Number, density and distribution of Rufous-banded Owl Ciccaba albitarsis (Strigiformes, Strigidae) in a cloud forest. Neotropical Biology and Conservation, 15, 711."
681,"Diller, L. V., & Thome, D. M. (1999). Population density of northern spotted owls in managed young-growth forests in coastal northern California. Journal of Raptor Research, 33(4), 275-286."
682,"Kelly, K. G., et al. (2023). Estimating population size for California spotted owls and barred owls across the Sierra Nevada ecosystem with bioacoustics. Ecological Indicators, 154, 110851."
683,"Gutierrez, R. J., & Pritchard, J. (1990). Distribution, density, and age structure of spotted owls on two southern California habitat islands. The Condor, 92(2), 491-495."
684,"Freitas, B., Melo, M., do Bom Jesus, C., da Costa, S. R., dos Santos, Y., Crottini, A., & de Lima, R. F. (2022). The recently discovered Principe Scops-owl is highly threatened: distribution, habitat associations, and population estimates. Bird Conservation International, 1-10."
685,"Stevens, J., Louette, M. I. C. H. E. L., & Herremans, M. A. R. C. (1999). Density and breeding biology of the Barn Owl Tyto alba (Aves, Tytonidae) on the tropical island of Mayotte. Belgian journal of zoology, 129, 405-420."
686,"Watkins, J.H. (1986) Observations on Ostrich in Northern Niger. Unpublished Report. Nigerien Forest Service, Niamey."
687,"Moehlman, P. D., Ogutu, J. O., Piepho, H. P., Runyoro, V. A., Coughenour, M. B., & Boone, R. B. (2020). Long-term historical and projected herbivore population dynamics in Ngorongoro crater, Tanzania. PloS one, 15(3), e0212530."
688,"Keeping, D., Burger, J. H., Keitsile, A. O., Gielen, M. C., Mudongo, E., Wallgren, M., ... & Foote, A. L. (2018). Can trackers count free-ranging wildlife as effectively and efficiently as conventional aerial survey and distance sampling? Implications for citizen science in the Kalahari, Botswana. Biological Conservation, 223, 156-169."
689,"Okello, M. M., Kenana, L., Maliti, H., Kiringe, J. W., Kanga, E., Warinwa, F., ... & Kimutai, D. (2016). Population density of elephants and other key large herbivores in the Amboseli ecosystem of Kenya in relation to droughts. Journal of Arid Environments, 135, 64-74."
690,"Magige et al. (2009). Does illegal hunting affect density and behaviour of African grassland birds? A case study on ostrich (Struthio camelus). Biodiversity and conservation, 18(5), 1361-1373."
691,"Mouddour, M. (1998). Rapport de Mission sur l'Autruche aÁ Cou Rouge. PAGRNAT Technical Report. Unpublished Report, IUCN Niger, Niamey."
692,"Magin, C. (1990) La Biologie Reproductrice de l'Autruche (Struthio camelus camelus), dans la RNNAT. PCGRNAT Technical Report No 16. Unpublished Report, IUCN Niger, Niamey."
693,"Ferreguetti, Á., Pereira-Ribeiro, J., Tomas, W. M., Bergallo, H. G., & Rocha, C. F. D. (2017). Density, habitat use, and activity patterns of a vulnerable population of Tinamus solitarius (Vieillot, 1819) in a Brazilian Atlantic Forest fragment. Canadian Journal of Zoology, 96(3): 245–252"
694,"Lin, A. K., Ngoprasert, D., Sukumal, N., Browne, S., & Savini, T. (2023). Density and habitat selection of Endangered red panda in Imawbum National Park, Kachin State, Northern Myanmar, ResearchSquare, doi: https://doi.org/10.21203/rs.3.rs-2722094/v1"
695,"Durant, S. M., Craft, M. E., Hilborn, R., Bashir, S., Hando, J., & Thomas, L. (2011). Long‐term trends in carnivore abundance using distance sampling in Serengeti National Park, Tanzania. Journal of Applied Ecology, 48(6), 1490-1500."
696,"Yirga, G., Leirs, H., De Iongh, H. H., Asmelash, T., Gebrehiwot, K., Vos, M., & Bauer, H. (2017). Densities of spotted hyaena (Crocuta crocuta) and African golden wolf (Canis anthus) increase with increasing anthropogenic influence. Mammalian Biology-Zeitschrift für Säugetierkunde, 85, 60-69."
697,"Hatton, I. A., McCann, K. S., Fryxell, J. M., Davies, T. J., Smerlak, M., Sinclair, A. R., & Loreau, M. (2015). The predator-prey power law: Biomass scaling across terrestrial and aquatic biomes. Science, 349(6252), 6284"
698,"Gruychev, G. (2021). Hare dynamics in plain areas of South Bulgaria: Effect of habitat features and predator abundance. Forestry ideas 27 N. 2(62): 298–308"
699,"Jayasekara, D., Mahaulpatha, D., Miththapala, S., Jayewardenepura, S., & Gangodawila, N. (2021). Population density estimation of meso-mammal carnivores using camera traps without the individual recognition in Maduru Oya National Park, Sri Lanka. Hystrix, the Italian Journal of Mammalogy, 32(2), 137-146."
700,"Patterson, B. R., & Messier, F. (2001). Social organization and space use of coyotes in eastern Canada relative to prey distribution and abundance. Journal of Mammalogy, 82(2), 463-477."
701,"McTigue, L. E., & DeGregorio, B. A. (2023). Effects of landcover on mesocarnivore density and detection rate along an urban to rural gradient. Global Ecology and Conservation, 48, e02716."
702,"Hinton, J. W., & Chamberlain, M. J. (2022). Evidence of reduced abundance, density, and survival of coyotes under federal management for red wolf recovery. Ecosphere, 13(8), e4216."
703,"Pyrah, D. (1984). Social distribution and population estimates of coyotes in north-central Montana. The Journal of wildlife management, 679-690."
704,"Nellis, C. H., & Keith, L. B. (1976). Population dynamics of coyotes in central Alberta, 1964-68. The Journal of wildlife management, 389-399."
705,"Murphy, S. M., Augustine, B. C., Adams, J. R., Waits, L. P., & Cox, J. J. (2018). Integrating multiple genetic detection methods to estimate population density of social and territorial carnivores. Ecosphere, 9(10), e02479."
706,"Gasaway, W. C., Stephenson, R. O., Davis, J. L., Shepherd, P. E., & Burris, O. E. (1983). Interrelationships of wolves, prey, and man in interior Alaska. Wildlife Monographs, 1-50."
707,"Messier, F. (1985). Social organization, spatial distribution, and population density of wolves in relation to moose density. Canadian Journal of Zoology, 63(5), 1068-1077."
708,"Marucco F., Avanzinelli E., Boiani M.V., Menzano A., Perrone S., Dupont P., Bischof R., Milleret C., von Hardenberg A., Pilgrim K., Friard O., Bisi F., Bombieri G., Calderola S., Carolfi S., Chioso C., Fattori U., Ferrari P., Pedrotti L., Righetti D., Tomasella M., Truc F., Aragno P., La Morgia V., Genovesi P. (2022). La popolazione di lupo nelle regioni alpine Italiane 2020-2021. Relazione tecnica dell’Attività di monitoraggio nazionale nell’ambito del Piano di Azione del lupo ai sensi della Convenzione ISPRA- MITE e nell’ambito del Progetto LIFE 18 NAT/IT/000972 WOLFALPS EU."
709,"Kojola, I.,et al. (2009). European wild forest reindeer and wolves: endangered prey and predators. Annales Zoologici Fennici 46(6): 416-423"
710,"Brandell, E. E., Fountain‐Jones, N. M., Gilbertson, M. L., Cross, P. C., Hudson, P. J., Smith, D. W., Stahler, D.R., Packer, C., & Craft, M. E. (2021). Group density, disease, and season shape territory size and overlap of social carnivores. Journal of Animal Ecology, 90(1), 87-101."
711,"Roffler, G. H., Waite, J. N., Pilgrim, K. L., Zarn, K. E., & Schwartz, M. K. (2019). Estimating abundance of a cryptic social carnivore using spatially explicit capture–recapture. Wildlife Society Bulletin, 43(1), 31-41."
712,"Bergerud, A. T., Wyett, W., & Snider, B. (1983). The role of wolf predation in limiting a moose population. The Journal of Wildlife Management, 977-988."
713,"Jędrzejewski, W., Schmidt, K., Theuerkauf, J., J ędrzejewska, B., & Kowalczyk, R. (2007). Territory size of wolves Canis lupus: linking local (Białowieża Primeval Forest, Poland) and Holarctic‐scale patterns. Ecography, 30(1), 66-76."
714,"López-Bao, J. V., et al. (2018). Toward reliable population estimates of wolves by combining spatial capture-recapture models and non-invasive DNA monitoring. Scientific reports, 8(1), 2177."
715,"Bergerud, A. T., & Elliot, J. P. (1986). Dynamics of caribou and wolves in northern British Columbia. Canadian Journal of Zoology, 64(7), 1515-1529."
716,"Śmietana, W., & Wajda, J. (1997). Wolf number changes in Bieszczady National Park, Poland. Acta theriologica, 42(3), 241-252."
717,"Abbas, F. I., Rooney, T. P., & Mian, A. (2013). Grey Wolf in Gilgit-Baltistan, Pakistan: Distribution, Abundance, and Persecution. Canid Biology & Conservation, 16(6), 18."
718,"Peterson, R. O., Woolington, J. D., & Bailey, T. N. (1984). Wolves of the Kenai peninsula, Alaska. Wildlife Monographs, 3-52."
719,"Fuller, T. K. (1989). Population dynamics of wolves in north-central Minnesota. Wildlife monographs, 3-41."
720,"Serrouya, R., van Oort, H., DeMars, C., & Boutin, S. (2016). Human footprint, habitat, wolves and boreal caribou population growth rates."
721,"Mysłajek, R. W., Tracz, M., Tracz, M., Tomczak, P., Szewczyk, M., Niedźwiecka, N., & Nowak, S. (2018). Spatial organization in wolves Canis lupus recolonizing north-west Poland: Large territories at low population density. Mammalian Biology, 92, 37-44."
722,"Erb, J., Humpal, C., & Sampson, B. (2015). Minnesota wolf population update 2015. Minnesota Dept of Natural Resources, St. Paul, MN."
723,"Nowak, S., Szewczyk, M., Stępniak, K. M., Kwiatkowska, I., Kurek, K., & Mysłajek, R. W. (2024). Wolves in the borderland–changes in population and wolf diet in Romincka Forest along the Polish–Russian–Lithuanian state borders. Wildlife Biology, e01210."
724,"Aragno P., Salvatori V., Caniglia R., De Angelis D., Fabbri E., Gervasi V., La Morgia V., Marucco F., Mucci N., Velli E., Genovesi P. (2022). La popolazione di lupo nelle regioni dell’Italia peninsulare 2020/2021. Relazione tecnica realizzata nell’ambito della convenzione ISPRA-Ministero della Transizione Ecologica “Attività di monitoraggio nazionale nell’ambito del Piano di Azione del lupo”"
725,"O'Neil, S. T., Beyer Jr, D. E., & Bump, J. K. (2019). Territorial landscapes: incorporating density-dependence into wolf habitat selection studies. Royal Society Open Science, 6(11), 190282."
726,"Bischof, R., Milleret, C., Dupont, P., Chipperfield, J., Brøseth, H., & Kindberg, J. (2019). RovQuant: Estimating density, abundance and population dynamics of bears, wolverines, and wolfs in Scandinavia. MINA fagrapport, 63."
727,"Beatham, S. E., et al. (2020). Developing methods for measuring national distributions and densities of wild mammals using camera traps: A Kosovo study. BioRxiv, 2020-07."
